field,female,male,note
sample_id,0,0,
patient_id,0,0,
age_years,0,0,
height_cm,0,0,
weight_kg,0,0,
lmp_date_raw,8,12,
conception_method,0,0,
test_date_raw,0,0,
draw_number,0,0,
gestational_age_raw,0,0,
bmi_reported,1,0,
raw_reads,0,0,
mapping_ratio,0,0,
duplicate_ratio,0,0,
unique_mapped_reads,0,0,
gc_ratio,0,0,
z13,0,0,
z18,0,0,
z21,0,0,
zx,0,0,
zy,605,0,female values are structurally absent
y_fraction,605,0,female values are structurally absent
x_fraction,0,0,
gc13,0,0,
gc18,0,0,
gc21,0,0,
filtered_ratio,0,0,
aneuploidy_raw,538,956,
gravidity_raw,0,0,
parity_raw,0,0,
healthy_birth_raw,0,0,
