term,estimate,std_error,ci_low,ci_high,p_value
Intercept,-2.5702452814810726,0.027094771052304838,-2.6233500569129484,-2.5171405060491967,0.0
age_years_z,-0.046962292059487654,0.027354903810280058,-0.10057691832819407,0.006652334209218756,0.08601977549067878
gc_ratio_z,0.024947178917472498,0.009735397383415499,0.005866150670792641,0.04402820716415236,0.01039147289713967
mapping_ratio_z,-0.007682267431798578,0.010343057120507952,-0.027954286878034723,0.012589752014437565,0.45763529111624723
duplicate_ratio_z,-0.0014273869066886693,0.008912211128643554,-0.0188949997414471,0.016040225928069765,0.8727544040206618
filtered_ratio_z,0.00996400548176978,0.008996063129726502,-0.007667954255142844,0.027595965218682406,0.2680362383617073
log_raw_reads_z,-0.042473549367729284,0.009386965110430833,-0.06087166290830777,-0.0240754358271508,6.047062475591411e-06
assisted_conception,-0.044761046935239815,0.20984049482017092,-0.4560408592808386,0.366518765410359,0.8310852820162444
"cr(gestational_weeks, df=4, constraints='center')[0]",0.10379169097156858,0.02689764469156185,0.051073276107152385,0.1565101058359848,0.00011396143461210325
"cr(gestational_weeks, df=4, constraints='center')[1]",0.05308809821467539,0.020259465987867847,0.013380274532440221,0.09279592189691055,0.008782422340501425
"cr(gestational_weeks, df=4, constraints='center')[2]",0.2924706749748871,0.032598187336290926,0.2285794018344672,0.35636194811530697,2.9119965183904025e-19
"cr(gestational_weeks, df=4, constraints='center')[3]",0.9701389994903263,0.13418279165673028,0.7071455604980934,1.2331324384825593,4.830625341789001e-13
"cr(bmi_analysis, df=3, constraints='center')[0]",0.28077339634943715,0.21997713987376816,-0.1503738752252783,0.7119206679241525,0.20182286973969088
"cr(bmi_analysis, df=3, constraints='center')[1]",0.21715480186305233,0.23615989098860068,-0.24571007906751027,0.6800196827936149,0.3578213053033248
"cr(bmi_analysis, df=3, constraints='center')[2]",-0.26832004486682537,0.2755551920365231,-0.808398297011429,0.2717582072777782,0.3301839709497687
