term,estimate,std_error,ci_low,ci_high,p_value
Intercept,-2.570180951244563,0.0269986697735871,-2.6230973716312835,-2.517264530857842,0.0
age_years_z,-0.04725237494570781,0.026837558019694507,-0.09985302209731314,0.0053482722058975155,0.07829243272390567
gc_ratio_z,0.02452761385397494,0.009444630376933664,0.006016478467892002,0.04303874924005788,0.009404456888751364
mapping_ratio_z,-0.008036378522705327,0.009480374730784547,-0.02661757155498665,0.010544814509575996,0.3966130068897854
duplicate_ratio_z,-0.0007200268917514238,0.009362055707494297,-0.0190693188996979,0.01762926511619505,0.9386958911117166
filtered_ratio_z,0.010201709661481572,0.00945642486679476,-0.008332542499945137,0.02873596182290828,0.2806713067412582
log_raw_reads_z,-0.04290851115557566,0.0094993204029168,-0.0615268370228991,-0.02429018528825222,6.2719384022246156e-06
assisted_conception,-0.04473903529127538,0.22172338785941773,-0.47930889002593957,0.3898308194433888,0.840089810391772
"cr(gestational_weeks, df=4, constraints='center')[0]",0.10603793013227299,0.03347604230303136,0.04042609287339223,0.17164976739115373,0.001537151795112599
"cr(gestational_weeks, df=4, constraints='center')[1]",0.05198157077820093,0.019760388932990484,0.013251920149035715,0.09071122140736615,0.008523566469251408
"cr(gestational_weeks, df=4, constraints='center')[2]",0.2902746397257026,0.02708065924769388,0.23719752292262106,0.3433517565287842,8.299227223344743e-27
"cr(gestational_weeks, df=4, constraints='center')[3]",0.9666356804274013,0.13090165268988935,0.7100731556384475,1.223198205216355,1.530939111624014e-13
"cr(bmi_analysis, df=3, constraints='center')[0]",0.2934663184881903,0.2336650022983546,-0.16450867046405365,0.7514413074404342,0.20914223172258417
"cr(bmi_analysis, df=3, constraints='center')[1]",0.23004454613977712,0.24974806344055597,-0.2594526634123372,0.7195417556918914,0.3569948655553077
"cr(bmi_analysis, df=3, constraints='center')[2]",-0.29572699566098404,0.1925361663876767,-0.6730909475022417,0.08163695618027361,0.12454927953496588
