simulation,group,boundary_after,optimal_week,mean_risk
0,1,32.89893226593305,11.999999999999993,0.5578729843639564
0,2,,19.999999999999964,0.5578729843639564
1,1,33.9632508881169,11.999999999999993,0.5501323444430302
1,2,,20.714285714285676,0.5501323444430302
2,1,33.173932113621404,11.999999999999993,0.5340777435746127
2,2,,20.42857142857139,0.5340777435746127
3,1,32.44832318267055,11.999999999999993,0.5761023244012189
3,2,,19.857142857142822,0.5761023244012189
4,1,32.7032818769354,11.999999999999993,0.5829970826554707
4,2,,19.999999999999964,0.5829970826554707
5,1,34.01253445026795,11.999999999999993,0.5295585528560552
5,2,,20.142857142857107,0.5295585528560552
6,1,33.6163850333305,11.999999999999993,0.5424388589813391
6,2,,20.142857142857107,0.5424388589813391
7,1,33.75308582329245,11.999999999999993,0.5413073290876111
7,2,,20.714285714285676,0.5413073290876111
8,1,32.54021816248835,11.999999999999993,0.5866398515038812
8,2,,19.857142857142822,0.5866398515038812
9,1,32.855693790000004,11.999999999999993,0.5586159010488995
9,2,,19.571428571428537,0.5586159010488995
10,1,33.24811706996741,11.999999999999993,0.5495520257143626
10,2,,20.42857142857139,0.5495520257143626
11,1,33.307927785000004,11.999999999999993,0.5946787443457148
11,2,,20.142857142857107,0.5946787443457148
12,1,34.10245052764635,11.999999999999993,0.5597068858864426
12,2,,20.85714285714282,0.5597068858864426
13,1,32.423729663906755,11.999999999999993,0.576702383982662
13,2,,19.857142857142822,0.576702383982662
14,1,31.95259136745955,11.999999999999993,0.5717860422295717
14,2,,18.999999999999968,0.5717860422295717
15,1,32.788220758624746,11.999999999999993,0.5790529945020817
15,2,,19.999999999999964,0.5790529945020817
16,1,33.20719191798945,11.999999999999993,0.5675714692625002
16,2,,20.42857142857139,0.5675714692625002
17,1,32.788220758624746,11.999999999999993,0.5551613751013489
17,2,,20.142857142857107,0.5551613751013489
18,1,32.642336522060546,11.999999999999993,0.5886347042438828
18,2,,19.285714285714253,0.5886347042438828
19,1,33.035066021815396,11.999999999999993,0.57006544996974
19,2,,19.71428571428568,0.57006544996974
20,1,32.642336522060546,11.999999999999993,0.5713874049934793
20,2,,19.71428571428568,0.5713874049934793
21,1,33.6163850333305,11.999999999999993,0.5588993790282302
21,2,,20.571428571428534,0.5588993790282302
22,1,33.35885589395795,11.999999999999993,0.5601416265954857
22,2,,20.42857142857139,0.5601416265954857
23,1,34.258432214678805,11.999999999999993,0.4924238642386941
23,2,,20.99999999999996,0.4924238642386941
24,1,32.89893226593305,11.999999999999993,0.5708013564693915
24,2,,19.571428571428537,0.5708013564693915
25,1,33.6163850333305,11.999999999999993,0.5832840106956708
25,2,,20.571428571428534,0.5832840106956708
26,1,34.258432214678805,11.999999999999993,0.5661764477693215
26,2,,20.85714285714282,0.5661764477693215
27,1,32.9759465231214,11.999999999999993,0.5534826718632252
27,2,,19.857142857142822,0.5534826718632252
28,1,32.93512720905445,11.999999999999993,0.5550970613403391
28,2,,19.999999999999964,0.5550970613403391
29,1,33.75308582329245,11.999999999999993,0.5773777844866421
29,2,,20.28571428571425,0.5773777844866421
30,1,35.2208681140727,17.571428571428545,0.6000897815954528
30,2,,22.1428571428571,0.6000897815954528
31,1,33.24811706996741,11.999999999999993,0.5626845373235632
31,2,,19.999999999999964,0.5626845373235632
32,1,33.48942369335015,11.999999999999993,0.5672553327161355
32,2,,20.28571428571425,0.5672553327161355
33,1,33.8470987770759,11.999999999999993,0.5589347153976345
33,2,,19.71428571428568,0.5589347153976345
34,1,32.2768860333865,11.999999999999993,0.5647755617887882
34,2,,19.71428571428568,0.5647755617887882
35,1,33.128525569527596,11.999999999999993,0.5480052383589876
35,2,,19.999999999999964,0.5480052383589876
36,1,31.6993715345789,11.999999999999993,0.5440264078908355
36,2,,18.57142857142854,0.5440264078908355
37,1,33.307927785000004,11.999999999999993,0.5410290121398581
37,2,,20.714285714285676,0.5410290121398581
38,1,33.20719191798945,11.999999999999993,0.5605525144566831
38,2,,20.28571428571425,0.5605525144566831
39,1,33.6163850333305,11.999999999999993,0.5223862390761986
39,2,,20.571428571428534,0.5223862390761986
40,1,33.6163850333305,11.999999999999993,0.5635941306806874
40,2,,21.142857142857103,0.5635941306806874
41,1,33.43796273185215,11.999999999999993,0.5352386278948965
41,2,,20.571428571428534,0.5352386278948965
42,1,33.6163850333305,11.999999999999993,0.5761181213030778
42,2,,20.42857142857139,0.5761181213030778
43,1,33.48942369335015,11.999999999999993,0.5607353053191146
43,2,,19.857142857142822,0.5607353053191146
44,1,34.6456217064828,11.999999999999993,0.5052575802348429
44,2,,20.714285714285676,0.5052575802348429
45,1,33.6163850333305,11.999999999999993,0.5427259213996302
45,2,,20.42857142857139,0.5427259213996302
46,1,33.6163850333305,11.999999999999993,0.5505376431880152
46,2,,20.714285714285676,0.5505376431880152
47,1,32.642336522060546,11.999999999999993,0.5558009632900269
47,2,,19.71428571428568,0.5558009632900269
48,1,32.54021816248835,11.999999999999993,0.5750240887910103
48,2,,19.285714285714253,0.5750240887910103
49,1,33.307927785000004,11.999999999999993,0.5601590930685455
49,2,,20.142857142857107,0.5601590930685455
